Account Number,Legal Name,Owner First Name,Owner Middle Initial,Owner Last Name,Suffix,Legal Entity Owner,Title,Has Website,Social Media Presence,Marketplace Usage,Payment Digital Adoption,Active Social Media Channels,Social Media Posting Frequency,Year Started Digital Adoption,POS (Point of Sales) Usage,Online Ads Usage,E-Wallet Acceptance,Business Size,Monthly Revenue,Number of Employees,Location Type,Formalization Status,Willingness to Develop
ACC00024,Toko Jaya,Eve,D,Miller,Sr.,PT Sentosa,Manager,Tidak,Ya,Ya,Tidak,Instagram,Tidak Pernah,Belum Mengadopsi,Ya,Ya,Tidak,Small,>30 Juta,6-10 Orang,Toko,Formal,Bersedia
ACC00025,Toko Mandiri,Alice,,Davis,,UD Bersama,Owner,Tidak,Ya,Tidak,Tidak,Instagram,Tidak Pernah,<2015,Tidak,Tidak,Ya,Micro,<5 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC00026,Usaha Maju,David,A,Williams,III,PT Sentosa,Owner,Tidak,Ya,Ya,Ya,WhatsApp,Setiap Hari,2019-2021,Tidak,Tidak,Tidak,Medium,15-30 Juta,1-2 Orang,Rumah,Informal,Bersedia
ACC00027,Kios Berkah,John,A,Smith,Sr.,Perorangan Utama,Owner,Tidak,Ya,Ya,Ya,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,>30 Juta,>10 Orang,Pasar,Informal,Bersedia
ACC00028,Usaha Maju,Jane,D,Jones,Sr.,CV Makmur,Owner,Tidak,Ya,Tidak,Tidak,Facebook,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Micro,<5 Juta,3-5 Orang,Online-Only,Informal,Bersedia
ACC00029,Kios Jaya,Ella,A,Johnson,,PT Makmur,CEO,Tidak,Ya,Tidak,Ya,Instagram,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Tidak,Micro,<5 Juta,>10 Orang,Toko,Informal,Bersedia
ACC00030,Usaha Berkah,Bob,,Rodriguez,Sr.,CV Utama,Owner,Tidak,Ya,Tidak,Ya,Instagram,Jarang,Belum Mengadopsi,Ya,Tidak,Tidak,Small,5-15 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC00031,Warung Sejahtera,David,D,Miller,Sr.,PT Bersama,Owner,Tidak,Ya,Tidak,Tidak,Tidak Ada,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Micro,>30 Juta,1-2 Orang,Pasar,Informal,Bersedia
ACC00032,Kios Mandiri,David,B,Williams,Jr.,UD Utama,Manager,Tidak,Ya,Ya,Ya,Tidak Ada,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Small,15-30 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC00033,Kios Sejahtera,Ella,B,Martinez,Jr.,Perorangan Bersama,Owner,Ya,Ya,Ya,Ya,Instagram,Setiap Hari,2015-2018,Tidak,Ya,Tidak,Micro,5-15 Juta,1-2 Orang,Online-Only,Dalam Proses,Bersedia
ACC00034,Toko Berkah,Lucy,A,Brown,III,UD Makmur,CEO,Ya,Ya,Ya,Tidak,WhatsApp,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Micro,<5 Juta,3-5 Orang,Toko,Informal,Tidak Bersedia
ACC00035,Usaha Jaya,Bob,,Johnson,,Perorangan Utama,President,Tidak,Tidak,Tidak,Ya,TikTok,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,6-10 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC00036,Warung Mandiri,Jane,A,Martinez,Jr.,PT Makmur,Owner,Ya,Ya,Ya,Ya,Facebook,Setiap Hari,2022-Sekarang,Tidak,Ya,Ya,Medium,>30 Juta,1-2 Orang,Pasar,Informal,Tidak Bersedia
ACC00037,UMKM Jaya,Jane,,Johnson,,PT Utama,Manager,Tidak,Tidak,Ya,Tidak,Facebook,Tidak Pernah,2019-2021,Ya,Tidak,Tidak,Medium,15-30 Juta,3-5 Orang,Rumah,Dalam Proses,Bersedia
ACC00038,Toko Maju,Lucy,A,Miller,Jr.,UD Utama,Manager,Tidak,Tidak,Ya,Tidak,Facebook,Beberapa Kali Seminggu,2015-2018,Ya,Ya,Tidak,Small,>30 Juta,6-10 Orang,Toko,Dalam Proses,Bersedia
ACC00039,Usaha Berkah,Tom,B,Davis,Sr.,UD Bersama,Manager,Tidak,Tidak,Tidak,Ya,Tidak Ada,Jarang,2019-2021,Ya,Tidak,Ya,Micro,15-30 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC00040,Kios Mandiri,Bob,B,Rodriguez,Sr.,Perorangan Bersama,CEO,Tidak,Ya,Tidak,Ya,Instagram,Beberapa Kali Sebulan,<2015,Ya,Tidak,Tidak,Micro,15-30 Juta,>10 Orang,Rumah,Dalam Proses,Tidak Bersedia
ACC00041,UMKM Berkah,Ella,B,Davis,,UD Abadi,President,Ya,Ya,Ya,Tidak,Tidak Ada,Setiap Hari,2019-2021,Ya,Tidak,Ya,Small,<5 Juta,1-2 Orang,Online-Only,Informal,Bersedia
ACC00042,Warung Berkah,Charlie,C,Garcia,III,PT Makmur,President,Tidak,Ya,Ya,Ya,Instagram,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Micro,<5 Juta,>10 Orang,Pasar,Formal,Bersedia
ACC00043,Kios Mandiri,David,D,Rodriguez,,Perorangan Abadi,Owner,Tidak,Tidak,Ya,Ya,WhatsApp,Jarang,Belum Mengadopsi,Tidak,Ya,Ya,Medium,5-15 Juta,>10 Orang,Pasar,Informal,Bersedia
ACC00044,Warung Berkah,Jane,D,Miller,III,PT Utama,Manager,Ya,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,15-30 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC00045,Usaha Berkah,Lucy,D,Jones,Jr.,Perorangan Utama,Owner,Ya,Ya,Ya,Tidak,Instagram,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Tidak,Tidak,Small,>30 Juta,6-10 Orang,Pasar,Dalam Proses,Bersedia
ACC00046,Warung Jaya,Charlie,,Davis,III,Perorangan Makmur,Owner,Ya,Ya,Tidak,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Tidak,Micro,<5 Juta,>10 Orang,Online-Only,Informal,Bersedia
ACC00047,Usaha Mandiri,Bob,,Jones,Jr.,CV Sentosa,Manager,Tidak,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Rumah,Formal,Tidak Bersedia
ACC00048,Warung Jaya,Tom,C,Smith,Sr.,CV Abadi,Manager,Ya,Tidak,Ya,Ya,Facebook,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Online-Only,Formal,Bersedia
ACC00049,Warung Mandiri,Jane,A,Johnson,,CV Utama,CEO,Ya,Ya,Ya,Tidak,WhatsApp,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC00050,Warung Berkah,Lucy,B,Martinez,Sr.,UD Makmur,Director,Tidak,Ya,Ya,Ya,Tidak Ada,Jarang,2022-Sekarang,Tidak,Tidak,Ya,Micro,>30 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC00051,Kios Berkah,Ella,C,Williams,,PT Abadi,Director,Tidak,Ya,Ya,Ya,Instagram,Setiap Hari,Belum Mengadopsi,Ya,Tidak,Tidak,Micro,15-30 Juta,>10 Orang,Toko,Informal,Bersedia
ACC00052,Warung Sejahtera,Jane,C,Garcia,III,CV Abadi,President,Ya,Ya,Ya,Tidak,Facebook,Jarang,2019-2021,Tidak,Ya,Ya,Medium,5-15 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC00053,UMKM Berkah,John,D,Garcia,Jr.,UD Utama,President,Ya,Ya,Ya,Ya,Instagram,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Medium,>30 Juta,6-10 Orang,Online-Only,Informal,Bersedia
ACC00054,Toko Maju,Eve,C,Brown,Jr.,PT Abadi,Manager,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Ya,Tidak,Small,5-15 Juta,>10 Orang,Online-Only,Formal,Tidak Bersedia
ACC00055,Warung Berkah,Eve,A,Johnson,Jr.,PT Bersama,President,Ya,Tidak,Ya,Ya,TikTok,Tidak Pernah,2019-2021,Ya,Tidak,Tidak,Micro,15-30 Juta,3-5 Orang,Online-Only,Informal,Tidak Bersedia
ACC00056,Kios Maju,John,A,Davis,,CV Sentosa,Director,Tidak,Tidak,Tidak,Ya,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Ya,Ya,Small,>30 Juta,>10 Orang,Toko,Dalam Proses,Bersedia
ACC00057,Toko Jaya,David,,Garcia,Jr.,Perorangan Bersama,Director,Ya,Ya,Ya,Tidak,WhatsApp,Jarang,Belum Mengadopsi,Ya,Ya,Ya,Medium,5-15 Juta,6-10 Orang,Toko,Formal,Bersedia
ACC00058,UMKM Sejahtera,Eve,C,Garcia,III,PT Abadi,Owner,Ya,Tidak,Tidak,Ya,WhatsApp,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Ya,Small,<5 Juta,>10 Orang,Pasar,Dalam Proses,Bersedia
ACC00059,Warung Berkah,Alice,A,Smith,,CV Abadi,Director,Ya,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,15-30 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC00060,Usaha Maju,Bob,C,Jones,Sr.,UD Utama,Owner,Ya,Ya,Ya,Tidak,Tidak Ada,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,<5 Juta,6-10 Orang,Rumah,Dalam Proses,Bersedia
ACC00061,Warung Mandiri,Eve,B,Miller,III,CV Abadi,Manager,Tidak,Ya,Tidak,Ya,Facebook,Jarang,<2015,Tidak,Tidak,Tidak,Small,<5 Juta,1-2 Orang,Rumah,Informal,Tidak Bersedia
ACC00062,Toko Sejahtera,Lucy,C,Johnson,Sr.,UD Bersama,Director,Tidak,Ya,Ya,Tidak,Instagram,Tidak Pernah,2015-2018,Tidak,Ya,Ya,Medium,<5 Juta,3-5 Orang,Online-Only,Formal,Bersedia
ACC00063,Warung Berkah,John,D,Miller,,Perorangan Abadi,Manager,Tidak,Ya,Tidak,Ya,Instagram,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Small,<5 Juta,6-10 Orang,Pasar,Formal,Tidak Bersedia
ACC00064,Warung Berkah,Tom,A,Johnson,,Perorangan Makmur,CEO,Tidak,Ya,Tidak,Tidak,TikTok,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Medium,5-15 Juta,3-5 Orang,Rumah,Informal,Bersedia
ACC00065,Toko Jaya,Eve,C,Jones,Jr.,PT Makmur,President,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Seminggu,2019-2021,Ya,Ya,Tidak,Micro,15-30 Juta,1-2 Orang,Online-Only,Formal,Tidak Bersedia
ACC00066,UMKM Berkah,John,,Brown,III,Perorangan Bersama,Owner,Ya,Ya,Ya,Ya,Tidak Ada,Jarang,<2015,Ya,Tidak,Ya,Small,15-30 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC00067,UMKM Sejahtera,Alice,B,Rodriguez,III,CV Abadi,Manager,Tidak,Ya,Ya,Ya,WhatsApp,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Ya,Small,15-30 Juta,1-2 Orang,Online-Only,Informal,Bersedia
ACC00068,Usaha Mandiri,Eve,,Jones,Jr.,Perorangan Bersama,Owner,Tidak,Ya,Ya,Ya,WhatsApp,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Micro,5-15 Juta,>10 Orang,Pasar,Formal,Bersedia
ACC00069,Toko Berkah,Alice,,Smith,Jr.,UD Bersama,Director,Ya,Ya,Ya,Tidak,Facebook,Setiap Hari,2019-2021,Tidak,Tidak,Tidak,Small,5-15 Juta,6-10 Orang,Online-Only,Dalam Proses,Bersedia
ACC00070,Usaha Mandiri,Alice,B,Brown,III,Perorangan Bersama,Manager,Tidak,Ya,Tidak,Ya,TikTok,Setiap Hari,<2015,Tidak,Ya,Tidak,Medium,<5 Juta,6-10 Orang,Toko,Informal,Bersedia
ACC00071,UMKM Maju,Tom,,Martinez,Sr.,UD Abadi,Manager,Ya,Tidak,Ya,Tidak,Facebook,Jarang,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,<5 Juta,3-5 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC00072,Usaha Mandiri,Charlie,A,Davis,Sr.,UD Makmur,President,Tidak,Tidak,Ya,Tidak,Instagram,Setiap Hari,2022-Sekarang,Tidak,Tidak,Ya,Small,>30 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC00073,Warung Mandiri,David,C,Williams,,CV Makmur,Manager,Tidak,Ya,Ya,Ya,Tidak Ada,Jarang,2015-2018,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Rumah,Informal,Bersedia
ACC00074,Toko Jaya,Ella,C,Miller,Sr.,PT Utama,Owner,Tidak,Ya,Ya,Ya,WhatsApp,Jarang,2015-2018,Tidak,Tidak,Tidak,Medium,>30 Juta,1-2 Orang,Online-Only,Informal,Bersedia
ACC00075,UMKM Sejahtera,Alice,C,Davis,Jr.,CV Makmur,CEO,Ya,Ya,Ya,Tidak,TikTok,Beberapa Kali Sebulan,2015-2018,Ya,Ya,Ya,Small,5-15 Juta,>10 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC00076,Toko Mandiri,Alice,C,Garcia,Sr.,UD Makmur,President,Tidak,Tidak,Tidak,Tidak,TikTok,Tidak Pernah,2022-Sekarang,Ya,Ya,Tidak,Medium,>30 Juta,6-10 Orang,Rumah,Informal,Bersedia
ACC00077,Kios Jaya,Lucy,C,Jones,Jr.,Perorangan Makmur,CEO,Ya,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,<5 Juta,6-10 Orang,Rumah,Formal,Tidak Bersedia
ACC00078,Kios Jaya,Jane,C,Garcia,Sr.,Perorangan Makmur,Director,Ya,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,<2015,Tidak,Ya,Tidak,Small,5-15 Juta,>10 Orang,Toko,Dalam Proses,Tidak Bersedia
ACC00079,Toko Mandiri,David,D,Davis,,CV Abadi,Owner,Ya,Tidak,Tidak,Ya,TikTok,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Medium,5-15 Juta,1-2 Orang,Pasar,Informal,Tidak Bersedia
ACC00080,Usaha Sejahtera,Alice,B,Miller,III,CV Bersama,Owner,Ya,Ya,Tidak,Tidak,TikTok,Jarang,2019-2021,Tidak,Ya,Ya,Micro,<5 Juta,1-2 Orang,Online-Only,Formal,Bersedia
ACC00081,Usaha Sejahtera,Eve,D,Martinez,Jr.,UD Bersama,CEO,Ya,Ya,Ya,Ya,WhatsApp,Beberapa Kali Sebulan,Belum Mengadopsi,Ya,Tidak,Ya,Small,<5 Juta,1-2 Orang,Online-Only,Formal,Bersedia
ACC00082,Usaha Berkah,Jane,A,Smith,Sr.,CV Bersama,CEO,Tidak,Tidak,Ya,Tidak,WhatsApp,Jarang,<2015,Tidak,Tidak,Ya,Small,15-30 Juta,6-10 Orang,Pasar,Informal,Bersedia
ACC00083,Toko Sejahtera,Bob,A,Martinez,III,UD Utama,CEO,Tidak,Tidak,Tidak,Ya,Tidak Ada,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Small,<5 Juta,1-2 Orang,Toko,Informal,Bersedia
ACC00084,Kios Jaya,Lucy,A,Jones,,PT Utama,Owner,Tidak,Ya,Tidak,Tidak,Instagram,Jarang,<2015,Tidak,Tidak,Ya,Medium,>30 Juta,>10 Orang,Rumah,Informal,Bersedia
ACC00085,Warung Mandiri,John,B,Johnson,,PT Makmur,Manager,Tidak,Tidak,Ya,Tidak,Instagram,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Small,>30 Juta,1-2 Orang,Online-Only,Informal,Tidak Bersedia
ACC00086,UMKM Berkah,Eve,D,Jones,III,UD Abadi,Manager,Ya,Ya,Tidak,Ya,Tidak Ada,Jarang,Belum Mengadopsi,Tidak,Ya,Tidak,Micro,15-30 Juta,3-5 Orang,Rumah,Formal,Tidak Bersedia
ACC00087,Kios Sejahtera,Alice,C,Williams,Sr.,UD Bersama,Director,Ya,Ya,Tidak,Ya,Tidak Ada,Jarang,Belum Mengadopsi,Ya,Ya,Ya,Medium,<5 Juta,1-2 Orang,Toko,Informal,Bersedia
ACC00088,Toko Sejahtera,Jane,C,Garcia,Sr.,Perorangan Abadi,Director,Tidak,Ya,Tidak,Tidak,Facebook,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Small,>30 Juta,>10 Orang,Online-Only,Informal,Tidak Bersedia
ACC00089,Warung Berkah,John,A,Smith,III,CV Makmur,President,Tidak,Ya,Tidak,Tidak,Instagram,Jarang,<2015,Tidak,Ya,Tidak,Micro,>30 Juta,6-10 Orang,Online-Only,Dalam Proses,Bersedia
ACC00090,Kios Berkah,David,C,Martinez,III,PT Utama,CEO,Tidak,Ya,Tidak,Tidak,TikTok,Jarang,2015-2018,Tidak,Tidak,Ya,Medium,<5 Juta,1-2 Orang,Rumah,Informal,Bersedia
ACC00091,UMKM Mandiri,Tom,,Garcia,Sr.,UD Utama,President,Tidak,Ya,Ya,Tidak,Facebook,Jarang,2015-2018,Tidak,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Toko,Formal,Bersedia
ACC00092,UMKM Jaya,John,D,Miller,III,PT Utama,President,Ya,Tidak,Tidak,Tidak,Facebook,Beberapa Kali Seminggu,2019-2021,Tidak,Ya,Ya,Micro,<5 Juta,3-5 Orang,Pasar,Informal,Bersedia
ACC00093,Usaha Jaya,Jane,C,Brown,,UD Abadi,Director,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,>10 Orang,Toko,Informal,Bersedia
ACC00094,Warung Sejahtera,Lucy,C,Miller,Jr.,Perorangan Abadi,Owner,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Ya,Medium,>30 Juta,1-2 Orang,Toko,Informal,Tidak Bersedia
ACC00095,Warung Jaya,Charlie,B,Smith,Jr.,CV Abadi,CEO,Tidak,Ya,Tidak,Ya,Facebook,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Medium,>30 Juta,1-2 Orang,Pasar,Informal,Bersedia
ACC00096,UMKM Berkah,Ella,B,Brown,,PT Abadi,Director,Ya,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Seminggu,<2015,Tidak,Tidak,Tidak,Medium,>30 Juta,1-2 Orang,Toko,Informal,Tidak Bersedia
ACC00097,UMKM Maju,Ella,C,Rodriguez,,CV Utama,Manager,Ya,Ya,Tidak,Tidak,Facebook,Beberapa Kali Sebulan,2015-2018,Ya,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Online-Only,Formal,Bersedia
ACC00098,Warung Jaya,Charlie,D,Garcia,,Perorangan Makmur,Manager,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,Belum Mengadopsi,Ya,Tidak,Tidak,Small,>30 Juta,6-10 Orang,Pasar,Informal,Bersedia
ACC00099,Kios Jaya,John,,Garcia,Jr.,UD Sentosa,Manager,Tidak,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Ya,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Online-Only,Dalam Proses,Bersedia
ACC00100,UMKM Mandiri,Eve,A,Williams,,UD Bersama,Director,Tidak,Ya,Tidak,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Ya,Ya,Tidak,Micro,15-30 Juta,3-5 Orang,Online-Only,Dalam Proses,Bersedia
ACC00101,UMKM Berkah,Alice,,Rodriguez,Sr.,CV Abadi,Manager,Ya,Tidak,Tidak,Tidak,WhatsApp,Setiap Hari,2019-2021,Tidak,Ya,Ya,Medium,<5 Juta,6-10 Orang,Rumah,Dalam Proses,Tidak Bersedia
ACC00102,Warung Maju,Ella,D,Rodriguez,Sr.,PT Utama,Director,Tidak,Tidak,Tidak,Tidak,TikTok,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Medium,>30 Juta,>10 Orang,Online-Only,Dalam Proses,Tidak Bersedia
ACC00103,Usaha Maju,David,B,Williams,,PT Makmur,Director,Ya,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Tidak,Micro,15-30 Juta,>10 Orang,Online-Only,Informal,Bersedia
ACC00104,Warung Berkah,Jane,B,Brown,,CV Utama,President,Ya,Ya,Ya,Ya,WhatsApp,Jarang,<2015,Tidak,Tidak,Tidak,Medium,15-30 Juta,3-5 Orang,Online-Only,Informal,Bersedia
